seed,best_epoch,val_accuracy,val_specificity,val_recall,val_auc,val_aupr,val_pcc,val_scc,test_accuracy,test_specificity,test_recall,test_auc,test_aupr,test_pcc,test_scc
4,14,0.810928013876843,0.8768844221105527,0.6638655462184874,0.8657608772152077,0.7263477752132863,0.6086807655557085,0.5858000053246577,0.7790294627383015,0.8578745198463509,0.613941018766756,0.8485924074792406,0.7150818947408148,0.5658819392650447,0.564784583800315
0,5,0.803122289679098,0.8693467336683417,0.6554621848739496,0.8538948242613629,0.7095027826951418,0.5823888789094466,0.5667954197701041,0.8015597920277296,0.8719590268886044,0.6541554959785523,0.8475351254492591,0.7165109789381157,0.57771576436363,0.5630715901192975
3,17,0.803122289679098,0.8944723618090452,0.5994397759103641,0.8620500964204778,0.7280447671978333,0.585451418770641,0.5798568464751851,0.7946273830155979,0.8886043533930857,0.5978552278820375,0.8484036071167439,0.709138526927953,0.5755459759638064,0.564478692071562
1,15,0.8022549869904597,0.914572864321608,0.5518207282913166,0.8664822713004801,0.7372335347715259,0.5985647446972316,0.5869553849328081,0.7772963604852686,0.9014084507042254,0.517426273458445,0.8519564866655452,0.7230240064039645,0.5779339358603168,0.5702350182399166
2,12,0.800520381613183,0.8768844221105527,0.6302521008403361,0.8602466112072971,0.7175459465777824,0.5848642193497513,0.5769683963199169,0.7781629116117851,0.8604353393085787,0.6058981233243967,0.8424169192586668,0.7013182504244729,0.5542539983834829,0.5547791434361896
mean,,0.8039895923677364,0.88643216080402,0.6201680672268908,0.8616869360809651,0.7237349612911139,0.5919900054565559,0.5792752105645343,0.7861351819757366,0.876056338028169,0.5978552278820375,0.847780909193891,0.7130147314870642,0.5702663227672561,0.5634698055334562
std,,0.004021517127274795,0.01823989086721762,0.04571064685907322,0.005062500963354989,0.010588573089196836,0.011264104971469173,0.008108065360388035,0.011205012045230238,0.018651838908712044,0.04990485380425276,0.003439277797239883,0.00819321557067737,0.010219816037778618,0.005572270186072472
